city,categories,count
concord,Pizza,936
beaconsfield,Gyms,4
mesa,Tubing,58
concord,Buffets,93
las vegas,Hotels & Travel,152137
edinburgh,Bikes,101
edinburgh,Bars,11963
scottsdale,Real Estate Agents,1207
glendale,Session Photography,45
henderson,Swimming Pools,377
madison,Gas Stations,119
wesley chapel,Steakhouses,56
chandler,Performing Arts,131
north las vegas,Pet Services,777
markham,Barbeque,662
charlotte,Grocery,4237
lakewood,Education,70
stuttgart,Pizza,1548
phoenix,Vegan,9664
fort mill,Fast Food,409
champaign,Auto Parts & Supplies,185
las vegas,Editorial Services,56
mesa,Arcades,255
markham,Home Services,181
euclid,Home Services,33
mesa,Pool Cleaners,341
phoenix,Personal Injury Law,431
kent,Vegan,138
toronto,IT Services & Computer Repair,1108
tempe,Speech Therapists,21
stuttgart,Men's Clothing,226
vaughan,Men's Clothing,61
sun prairie,Mortgage Brokers,3
valley view,Irish,29
mesa,Toy Stores,247
peoria,Race Tracks,10
cuyahoga falls,Food,874
gastonia,Automotive,243
hudson,Restaurants,2278
henderson,Sports Clubs,242
phoenix,Baby Gear & Furniture,550
henderson,Medical Centers,1763
north york,Grocery,486
scottsdale,Party Characters,6
solon,Local Services,64
henderson,Cannabis Dispensaries,151
scottsdale,Employment Agencies,109
toronto,Thrift Stores,401
scottsdale,Notaries,206
phoenix,Personal Assistants,55
avon,Food,606
charlotte,Puerto Rican,135
pittsburgh,Life Coach,35
pickering,Canadian (New),269
avondale,Pretzels,4
oakville,Drive-In Theater,43
el mirage,Churches,5
kannapolis,Cinema,22
carnegie,Fashion,17
kannapolis,Shopping,105
surprise,RV Repair,57
brampton,Auto Detailing,40
las vegas,Tiling,1275
north york,Shoe Repair,36
surprise,Chinese,1056
garfield heights,Tex-Mex,8
stuttgart,Books,288
litchfield park,Flowers & Gifts,5
tempe,Eyelash Service,1643
avondale,Doctors,287
gilbert,Notaries,101
toronto,Pet Training,203
belmont,Fireplace Services,3
phoenix,Professional Sports Teams,134
edinburgh,Tattoo Removal,13
mcfarland,Refinishing Services,3
fountain hills,Makeup Artists,42
north las vegas,Pawn Shops,34
north ridgeville,Massage Therapy,3
fairlawn,Doctors,9
cleveland,Farmers Market,874
peoria,Breakfast & Brunch,1531
mentor,Health & Medical,84
glendale,Criminal Defense Law,15
university heights,Juice Bars & Smoothies,7
matthews,Hair Removal,104
sun lakes,Tax Services,4
new kensington,Mexican,64
oakdale,Hair Salons,23
madison,Pet Adoption,68
strongsville,Flooring,9
carefree,Health & Medical,96
cornelius,Blow Dry/Out Services,18
madison,Mobile Phones,311
kannapolis,Drugstores,19
ambridge,Cafes,14
gilbert,Bookkeepers,16
ambridge,Bars,95
copley,Automotive,17
litchfield park,Pediatric Dentists,12
sun prairie,Dry Cleaning & Laundry,21
king,Canadian (New),12
irwin,Automotive,52
phoenix,Alternative Medicine,12
mcdonald,Drugstores,3
chester,Department Stores,25
glendale,Dance Schools,3
highland heights,Specialty Schools,3
glendale,Baby Gear & Furniture,83
pittsburgh,Cosmetology Schools,20
penn hills,Shaved Ice,4
macedonia,Dry Cleaning & Laundry,3
north olmsted,Auto Detailing,73
north ridgeville,Tanning,7
tempe,Dermatologists,100
henderson,Sailing,59
warrensville heights,Bakeries,90
munhall,Kids Activities,5
fort mill,Packing Services,20
beachwood,Caterers,35
chagrin falls,Venues & Event Spaces,151
tempe,Water Stores,46
saint joseph,Arts & Crafts,4
laveen,Banks & Credit Unions,19
north olmsted,Meat Shops,25
harrisburg,Donuts,36
painesville,Home & Garden,16
avon,Pet Sitting,12
goodyear,Internet Cafes,223
chagrin falls,Nurseries & Gardening,33
fountain hills,Golf,91
pineville,Delis,90
wexford,Tabletop Games,5
chagrin falls,Lawyers,3
sun prairie,Shipping Centers,4
huntersville,Greek,108
medina,Water Heater Installation/Repair,3
glendale,Bridal,86
black earth,Auto Customization,3
mentor,Bed & Breakfast,33
cleveland,Hostels,38
urbana,Photographers,6
henderson,Seafood Markets,155
richfield,Automotive,17
laveen,Nurseries & Gardening,31
woodbridge,Kids Activities,4
vaughan,Amusement Parks,232
willoughby,Sushi Bars,254
sun city,Cafes,21
edinburgh,Noodles,7
lyndhurst,Rugs,23
willoughby hills,Nurseries & Gardening,5
oakville,Weight Loss Centers,3
beachwood,Parks,12
seven hills,Landscape Architects,3
north ridgeville,Active Life,9
tallmadge,Tanning,11
north las vegas,Taxis,8
scarborough,Gas Stations,6
bedford,Siding,16
parma,Steakhouses,41
peoria,Summer Camps,40
strongsville,Cajun/Creole,11
waxhaw,Pet Services,22
indian trail,American (New),79
