categories,city,avg(stars)
Hotels & Travel,Edinburgh,3.695918367346939
Imported Food,Cleveland,4.0
Shopping,Belmont,3.388888888888889
British,Edinburgh,3.872093023255814
Hobby Shops,Markham,4.166666666666667
Shades & Blinds,Scottsdale,4.232142857142857
Bikes,Gilbert,4.444444444444445
Plumbing,McKees Rocks,5.0
Wedding Planning,Madison,4.176470588235294
Nail Salons,Etobicoke,3.357142857142857
Breweries,Stuttgart,3.5625
Auto Parts & Supplies,Charlotte,3.5759493670886076
Flowers & Gifts,Newmarket,2.8333333333333335
Restaurants,Seven Hills,3.4545454545454546
Bakeries,Chardon,4.5
Body Shops,Willoughby,3.6666666666666665
Barbeque,Saint Leonard,3.5
Photographers,Scottsdale,4.625
Music Venues,Cleveland,3.6
Steakhouses,Brunswick,2.5
Local Services,Shaker Heights,3.1666666666666665
Oil Change Stations,Eastlake,3.0
Urgent Care,Mesa,3.0961538461538463
Community Service/Non-Profit,Scottsdale,3.8823529411764706
Musicians,Las Vegas,4.294117647058823
Coffee & Tea,Gastonia,3.35
Tree Services,Bethel Park,3.75
Pizza,McKees Rocks,3.625
Challenge Courses,Scottsdale,3.8333333333333335
Thrift Stores,Edinburgh,3.9705882352941178
IT Services & Computer Repair,Willoughby,3.75
Sandwiches,Bedford,3.5
Women's Clothing,Mesa,3.488372093023256
Ice Cream & Frozen Yogurt,Henderson,3.6666666666666665
Home Window Tinting,Avondale,5.0
Marketing,Henderson,4.294117647058823
Elementary Schools,Hudson,5.0
Dry Cleaning & Laundry,North York,2.764705882352941
Lighting Fixtures & Equipment,Phoenix,3.857142857142857
Powder Coating,Las Vegas,4.7
Flooring,Mesa,4.058333333333334
Hardware Stores,Stuttgart,4.0
Hair Stylists,Madison,3.7586206896551726
Coffee & Tea,Sun City,4.0
Women's Clothing,Aurora,4.166666666666667
Trampoline Parks,Peoria,3.5
Sushi Bars,Huntersville,3.8125
Beer,Chandler,3.6923076923076925
Public Services & Government,Roosevelt,4.5
Sandwiches,North Las Vegas,3.1
Tex-Mex,McKeesport,3.0
Chinese,Brossard,3.4615384615384617
Restaurants,Mont-Royal,3.6818181818181817
Kitchen & Bath,Charlotte,3.6527777777777777
Taxis,Charlotte,3.25
Bike Rentals,Fountain Hills,5.0
Fast Food,Bridgeville,2.5555555555555554
Windshield Installation & Repair,Madison,3.9444444444444446
Thrift Stores,Vaughan,4.0
Women's Clothing,Surprise,4.1
Organic Stores,Las Vegas,4.205882352941177
Pizza,Malton,1.5
Ski & Snowboard Shops,Edinburgh,4.0
Home Theatre Installation,Henderson,4.5625
Local Flavor,Glendale,3.5833333333333335
Food,Spring Valley,3.75
Elementary Schools,Brampton,2.0
Venues & Event Spaces,Hudson,3.5
Shoe Stores,Highland Heights,2.5
Gyms,Cleveland,3.896551724137931
Wedding Planning,Woodbridge,3.8333333333333335
Waxing,Surprise,3.763157894736842
Convenience Stores,Parma,3.7142857142857144
Airports,Etobicoke,2.25
Watch Repair,Toronto,4.131578947368421
Wedding Planning,Mississauga,3.2142857142857144
Motorcycle Dealers,Peoria,3.857142857142857
Pet Boarding,Toronto,4.111111111111111
Specialty Food,North Versailles,4.5
Home & Garden,King,3.5
Comic Books,Tempe,3.857142857142857
Local Services,McMurray,5.0
Kickboxing,Phoenix,4.833333333333333
Pet Training,Mesa,3.6
Martial Arts,Scottsdale,4.5
Mobile Phones,Cuyahoga Falls,4.0
Furniture Rental,Pittsburgh,5.0
Bankruptcy Law,Tempe,3.9375
Gas Stations,Montréal,2.3333333333333335
Wraps,Twinsburg,1.5
Indian,Monroeville,3.7142857142857144
Landscape Architects,Tempe,3.772727272727273
Cheesesteaks,East Cleveland,4.0
Taiwanese,Pittsburgh,3.727272727272727
Lingerie,West Mifflin,3.0
Pet Boarding,Pittsburgh,4.5
Wraps,Charlotte,3.5
Brazilian,Pittsburgh,4.0
Recreation Centers,Whitby,1.0
Books,Harrisburg,5.0
Event Planning & Services,MESA,3.0
Jewelry,Matthews,4.25
Smokehouse,Ambridge,4.0
Farmers Market,Cleveland,4.291666666666667
Summer Camps,Fort McDowell,5.0
Delis,McCandless Township,4.0
Pubs,Cuyahoga Falls,3.5
Grocery,Mahomet,2.0
Personal Assistants,Gilbert,4.0
Food Court,Berea,2.5
Wedding Planning,Port Credit,5.0
Libraries,Richmond Hill,3.5
Restaurants,Mont-Saint-Hilaire,3.875
Food,Sun City West,3.875
Asian Fusion,North Olmsted,3.6666666666666665
Environmental Abatement,Phoenix,4.75
Pediatric Dentists,Hudson,4.0
Caterers,Aurora,3.5
Education,Parma,5.0
Ticket Sales,Pittsburgh,4.166666666666667
Electronics,Strongsville,2.5
Home Services,McKeesport,3.75
Plumbing,Montréal,4.0
Shared Office Spaces,Gilbert,4.0
Lounges,Bridgeville,2.5
Golf Equipment,Charlotte,3.0
Immigration Law,Scottsdale,5.0
Seafood,Richfield,3.75
Italian,Sheffield Village,3.5
Auto Glass Services,Kannapolis,4.0
Art Galleries,Cottage Grove,4.5
Moroccan,Madison,3.6
Toy Stores,Middleton,4.125
Guest Houses,Böblingen,3.5
Automotive,Lowell,3.875
Bike Rentals,Madison,4.205882352941177
Seafood,Westlake,3.65
Motorcycle Repair,Aurora,3.5
Breakfast & Brunch,Lyndhurst,3.8333333333333335
Cupcakes,Concord,4.166666666666667
Airport Shuttles,Madison,3.875
Family Practice,Markham,2.6666666666666665
Pet Sitting,Mentor,3.75
General Dentistry,Davidson,4.75
Ice Cream & Frozen Yogurt,Brooklyn,3.5
Venues & Event Spaces,Vaudreuil,4.5
Organic Stores,East Mississauga,3.5
French,Cave Creek,4.0
Hiking,Paradise Valley,4.5
Flooring,Macedonia,5.0
Bridal,Woodbridge,3.2
Cafes,Boucherville,4.333333333333333
Delis,Ranlo,4.5
Arts & Entertainment,Warrensville Heights,3.0
Landmarks & Historical Buildings,Chester,4.166666666666667
Photography Stores & Services,Scarborough,4.0
Puerto Rican,Charlotte,3.375
Automotive,Tega Cay,4.5
Appraisal Services,Mesa,4.666666666666667
Nightlife,Rexdale,4.0
Holiday Decorating Services,Thornhill,5.0
Parks,Cuyahoga Falls,3.6666666666666665
Skin Care,Chagrin Falls,3.6666666666666665
Pets,Gerlingen,3.5
Junk Removal & Hauling,Caledon,1.5
Professional Services,Beachwood,2.75
Laotian,Madison,4.0
Orthodontists,Woodbridge,4.5
Homeowner Association,Gilbert,4.5
Festivals,Whitchurch-Stouffville,3.75
Sporting Goods,Pepper Pike,5.0
Hookah Bars,Henderson,4.25
Children's Clothing,Strongsville,2.6666666666666665
Convenience Stores,Berea,2.0
Urgent Care,Cleveland,2.75
Shopping,Rantoul,3.5
Street Vendors,Goodyear,2.5
Asian Fusion,Rocky River,3.5
Pretzels,Charlotte,2.875
Music & Video,Montreal,4.166666666666667
Home Services,Mint Hill,4.071428571428571
Sandwiches,Ste-Therese-de-Blainville,4.0
Veterinarians,Bay Village,4.5
Nail Salons,Sewickley,4.25
Books,Surprise,4.0
Mass Media,Cleveland,3.75
Snow Removal,Sewickley,5.0
Pawn Shops,Cleveland,4.666666666666667
Fast Food,Sun City,2.5
Beauty & Spas,Île des Soeurs,4.0
Insurance,las vegas,5.0
Fitness & Instruction,Castle Shannon,4.0
Furniture Stores,Bridgeville,4.0
Seafood,MESA,3.5
IT Services & Computer Repair,San Tan Valley,5.0
Tree Services,Carnegie,5.0
Endodontists,Solon,4.0
Engraving,Markham,1.0
Landscaping,Avon Lake,4.0
Clock Repair,Henderson,3.0
Arts & Entertainment,Nellis AFB,5.0
Gift Shops,Pointe-Claire,4.5
Art Schools,Cleveland,4.5
Nightlife,Rankin,5.0
Wedding Planning,Mount Laurel,4.0
Venues & Event Spaces,Pineville,4.25
Gymnastics,Gilbert,4.25
Auto Detailing,Frazer,3.5
Real Estate,Brampton,4.5
Wine & Spirits,Leinfelden-Echterdingen,4.0
Shoe Stores,Woodbridge,2.5
Firearm Training,Peoria,5.0
Asian Fusion,Brooklyn,4.0
Wedding Planning,Oakdale,1.5
Team Building Activities,Charlotte,4.5
Hookah Bars,Cornelius,3.5
